PROBABILIDAD;DEPARTAMENTO;MUNICIPIO;CODMUNI;FECHA;REGION
5;LA GUAJIRA;ALBANIA;44035;16/06/2026;CARIBE
5;LA GUAJIRA;BARRANCAS;44078;16/06/2026;CARIBE
5;LA GUAJIRA;DISTRACCIÓN;44098;16/06/2026;CARIBE
5;LA GUAJIRA;FONSECA;44279;16/06/2026;CARIBE
5;LA GUAJIRA;HATONUEVO;44378;16/06/2026;CARIBE
5;LA GUAJIRA;MAICAO;44430;16/06/2026;CARIBE
5;LA GUAJIRA;RIOHACHA;44001;16/06/2026;CARIBE
5;LA GUAJIRA;URIBIA;44847;16/06/2026;CARIBE
5;NORTE DE SANTANDER;ARBOLEDAS;54051;16/06/2026;ANDINA
5;NORTE DE SANTANDER;DURANIA;54239;16/06/2026;ANDINA
5;NORTE DE SANTANDER;EL ZULIA;54261;16/06/2026;ANDINA
5;NORTE DE SANTANDER;GRAMALOTE;54313;16/06/2026;ANDINA
5;NORTE DE SANTANDER;LOURDES;54418;16/06/2026;ANDINA
5;NORTE DE SANTANDER;SALAZAR;54660;16/06/2026;ANDINA
5;NORTE DE SANTANDER;SAN CAYETANO;54673;16/06/2026;ANDINA
5;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;54001;16/06/2026;ANDINA
5;NORTE DE SANTANDER;SANTIAGO;54680;16/06/2026;ANDINA
5;NORTE DE SANTANDER;VILLA CARO;54871;16/06/2026;ANDINA
3;BOLÍVAR;EL GUAMO;13248;16/06/2026;CARIBE
3;BOYACÁ;MONIQUIRÁ;15469;16/06/2026;ANDINA
3;BOYACÁ;TOTA;15822;16/06/2026;ANDINA
3;CALDAS;VICTORIA;17867;16/06/2026;ANDINA
3;CAUCA;MERCADERES;19450;16/06/2026;PACÍFICO
3;CAUCA;PATÍA;19532;16/06/2026;PACÍFICO
3;CUNDINAMARCA;CARMEN DE CARUPA;25154;16/06/2026;ANDINA
3;CUNDINAMARCA;CHAGUANÍ;25168;16/06/2026;ANDINA
3;CUNDINAMARCA;LA PEÑA;25398;16/06/2026;ANDINA
3;CUNDINAMARCA;NILO;25488;16/06/2026;ANDINA
3;CUNDINAMARCA;NIMAIMA;25489;16/06/2026;ANDINA
3;CUNDINAMARCA;PUERTO SALGAR;25572;16/06/2026;ANDINA
3;CUNDINAMARCA;QUEBRADANEGRA;25592;16/06/2026;ANDINA
3;CUNDINAMARCA;SUSA;25779;16/06/2026;ANDINA
3;CUNDINAMARCA;VILLETA;25875;16/06/2026;ANDINA
3;CUNDINAMARCA;ÚTICA;25851;16/06/2026;ANDINA
3;LA GUAJIRA;DIBULLA;44090;16/06/2026;CARIBE
3;MAGDALENA;SANTA MARTA;47001;16/06/2026;CARIBE
3;NARIÑO;EL PEÑOL;52254;16/06/2026;PACÍFICO
3;NARIÑO;EL TAMBO;52260;16/06/2026;PACÍFICO
3;NARIÑO;LA FLORIDA;52381;16/06/2026;PACÍFICO
3;NARIÑO;LINARES;52411;16/06/2026;PACÍFICO
3;NARIÑO;SANDONÁ;52683;16/06/2026;PACÍFICO
3;NORTE DE SANTANDER;EL TARRA;54250;16/06/2026;ANDINA
3;NORTE DE SANTANDER;HACARÍ;54344;16/06/2026;ANDINA
3;NORTE DE SANTANDER;SAN CALIXTO;54670;16/06/2026;ANDINA
3;NORTE DE SANTANDER;TEORAMA;54800;16/06/2026;ANDINA
3;SUCRE;COROZAL;70215;16/06/2026;CARIBE
3;TOLIMA;AMBALEMA;73030;16/06/2026;ANDINA
3;TOLIMA;ARMERO;73055;16/06/2026;ANDINA
3;TOLIMA;FRESNO;73283;16/06/2026;ANDINA
3;TOLIMA;LÉRIDA;73408;16/06/2026;ANDINA
3;TOLIMA;NATAGAIMA;73483;16/06/2026;ANDINA
3;TOLIMA;PALOCABILDO;73520;16/06/2026;ANDINA
3;TOLIMA;SAN SEBASTIÁN DE MARIQUITA;73443;16/06/2026;ANDINA
4;CALDAS;LA DORADA;17380;16/06/2026;ANDINA
4;CUNDINAMARCA;CAPARRAPÍ;25148;16/06/2026;ANDINA
4;CUNDINAMARCA;GUADUAS;25320;16/06/2026;ANDINA
4;CÓRDOBA;CHIMÁ;23168;16/06/2026;CARIBE
4;LA GUAJIRA;MANAURE;44560;16/06/2026;CARIBE
4;LA GUAJIRA;SAN JUAN DEL CESAR;44650;16/06/2026;CARIBE
4;LA GUAJIRA;URUMITA;44855;16/06/2026;CARIBE
4;NORTE DE SANTANDER;BOCHALEMA;54099;16/06/2026;ANDINA
4;NORTE DE SANTANDER;BUCARASICA;54109;16/06/2026;ANDINA
4;NORTE DE SANTANDER;LOS PATIOS;54405;16/06/2026;ANDINA
4;NORTE DE SANTANDER;SARDINATA;54720;16/06/2026;ANDINA
4;NORTE DE SANTANDER;VILLA DEL ROSARIO;54874;16/06/2026;ANDINA
4;TOLIMA;FALAN;73270;16/06/2026;ANDINA
4;TOLIMA;HONDA;73349;16/06/2026;ANDINA
4;TOLIMA;ALVARADO;73026;16/06/2026;ANDINA
